0,4.00
1,4.00
2,4.00
3,4.00
4,4.00
5,4.00
6,4.00
7,4.00
8,4.00
9,4.00
10,4.00
11,4.00
12,4.00
13,4.00
14,4.00
15,4.00
16,4.00
17,4.00
18,4.00
19,4.00
20,4.00
21,4.00
22,4.00
23,4.00
24,4.00
25,4.00
26,4.00
27,4.00
28,4.00
29,4.00
30,4.00
31,4.00
32,4.00
33,4.00
34,4.00
35,4.00
36,4.00
37,4.00
38,4.00
39,4.00
40,4.00
41,4.00
42,4.00
43,4.00
44,4.00
45,4.00
46,4.00
47,4.00
48,4.00
49,4.00
50,4.00
51,4.00
52,4.00
53,4.00
54,4.00
55,4.00
56,4.00
57,4.00
58,4.00
59,4.00
60,4.00
61,4.00
62,4.00
63,4.00
64,4.00
65,4.00
66,4.00
67,4.00
68,4.00
69,4.00
70,4.00
71,4.00
72,4.00
73,4.00
74,4.00
75,4.00
76,4.00
77,4.00
78,4.00
79,4.00
80,4.00
81,4.00
82,4.00
83,4.20
84,4.20
85,4.20
86,4.20
87,4.41
88,4.63
89,4.63
90,4.63
91,4.86
92,5.11
93,5.11
94,5.11
95,5.11
96,5.11
97,5.11
98,5.11
99,5.36
100,5.36
101,5.36
102,5.63
103,5.91
104,6.21
105,6.21
106,6.21
107,6.21
108,6.21
109,6.21
110,6.21
111,6.52
112,6.84
113,7.18
114,7.54
115,7.54
116,7.92
117,7.92
118,8.32
119,8.32
120,8.32
121,8.32
122,8.32
123,8.73
124,9.17
125,9.63
126,10.11
127,10.11
128,10.11
129,10.11
130,10.61
131,11.14
132,11.70
133,11.70
134,11.70
135,11.70
136,11.70
137,11.70
138,11.70
139,11.70
140,12.29
141,12.29
142,12.29
143,12.29
144,12.90
145,13.55
146,14.22
147,14.93
148,15.68
149,15.68
150,15.68
151,15.68
152,15.68
153,16.46
154,16.46
155,16.46
156,16.46
157,16.46
158,16.46
159,17.29
160,18.15
161,18.15
162,18.15
163,19.06
164,20.01
165,21.01
166,21.01
167,21.01
168,22.06
169,22.06
170,22.06
171,22.06
172,22.06
173,23.17
174,24.33
175,24.33
176,24.33
177,25.54
178,26.82
179,28.16
180,29.57
181,29.57
182,29.57
183,29.57
184,29.57
185,29.57
186,29.57
187,29.57
188,29.57
189,29.57
190,29.57
191,29.57
192,29.57
193,31.05
194,31.05
195,31.05
196,31.05
197,31.05
198,31.05
199,31.05
200,31.05
201,31.05
202,32.60
203,32.60
204,34.23
205,34.23
206,34.23
207,34.23
208,34.23
209,35.94
210,37.74
211,39.62
212,39.62
213,39.62
214,39.62
215,39.62
216,41.61
